
price,date,exchange,type
2042.78,2022-05-23 07:21:37.858220+00:00,Pancakeswap,scraper
2059.38,2022-05-23 07:21:41.465526+00:00,Uniswap,scraper
2042.78,2022-05-23 07:21:47.880368+00:00,Pancakeswap,scraper
2042.78,2022-05-23 07:21:57.918648+00:00,Pancakeswap,scraper
2060.07,2022-05-23 07:22:01.485090+00:00,Uniswap,scraper
2042.78,2022-05-23 07:22:07.942927+00:00,Pancakeswap,scraper
2042.78,2022-05-23 07:22:17.960697+00:00,Pancakeswap,scraper
2060.07,2022-05-23 07:22:21.505060+00:00,Uniswap,scraper
2042.78,2022-05-23 07:22:27.976537+00:00,Pancakeswap,scraper
2042.78,2022-05-23 07:22:38.030898+00:00,Pancakeswap,scraper
2060.07,2022-05-23 07:22:41.532380+00:00,Uniswap,scraper
2042.78,2022-05-23 07:22:48.051457+00:00,Pancakeswap,scraper
2042.78,2022-05-23 07:22:58.076240+00:00,Pancakeswap,scraper
2060.07,2022-05-23 07:23:01.653059+00:00,Uniswap,scraper
2042.78,2022-05-23 07:23:08.095302+00:00,Pancakeswap,scraper
2042.78,2022-05-23 07:23:18.113703+00:00,Pancakeswap,scraper
2060.07,2022-05-23 07:23:22.399799+00:00,Uniswap,scraper
2042.78,2022-05-23 07:23:28.138576+00:00,Pancakeswap,scraper
2042.78,2022-05-23 07:23:38.159898+00:00,Pancakeswap,scraper
2060.07,2022-05-23 07:23:42.411517+00:00,Uniswap,scraper
2042.78,2022-05-23 07:23:48.182729+00:00,Pancakeswap,scraper
2042.78,2022-05-23 07:23:58.200432+00:00,Pancakeswap,scraper
2060.07,2022-05-23 07:24:02.437648+00:00,Uniswap,scraper
2042.78,2022-05-23 07:24:08.222662+00:00,Pancakeswap,scraper
2051.45,2022-05-23 07:24:18.244384+00:00,Pancakeswap,scraper
2060.07,2022-05-23 07:24:22.456413+00:00,Uniswap,scraper
2051.45,2022-05-23 07:24:28.296220+00:00,Pancakeswap,scraper
2055.11,2022-05-23 07:24:38.310630+00:00,Pancakeswap,scraper
2060.07,2022-05-23 07:24:42.477437+00:00,Uniswap,scraper
2054.96,2022-05-23 07:24:48.330406+00:00,Pancakeswap,scraper
2054.96,2022-05-23 07:24:58.345136+00:00,Pancakeswap,scraper
2072.87,2022-05-23 07:25:02.501364+00:00,Uniswap,scraper
2054.96,2022-05-23 07:25:08.368064+00:00,Pancakeswap,scraper
2054.96,2022-05-23 07:25:18.392752+00:00,Pancakeswap,scraper
2070.07,2022-05-23 07:25:23.202884+00:00,Uniswap,scraper
2054.96,2022-05-23 07:25:28.412479+00:00,Pancakeswap,scraper
2054.96,2022-05-23 07:25:38.437781+00:00,Pancakeswap,scraper
2070.07,2022-05-23 07:25:43.226460+00:00,Uniswap,scraper
2054.96,2022-05-23 07:25:48.454746+00:00,Pancakeswap,scraper
2054.96,2022-05-23 07:25:58.471693+00:00,Pancakeswap,scraper
2070.07,2022-05-23 07:26:03.245874+00:00,Uniswap,scraper
2053.02,2022-05-23 07:26:08.495307+00:00,Pancakeswap,scraper
2053.02,2022-05-23 07:26:18.570821+00:00,Pancakeswap,scraper
2071.59,2022-05-23 07:26:23.286564+00:00,Uniswap,scraper
2053.02,2022-05-23 07:26:28.591321+00:00,Pancakeswap,scraper
2053.02,2022-05-23 07:26:38.607396+00:00,Pancakeswap,scraper
2071.59,2022-05-23 07:26:43.309227+00:00,Uniswap,scraper
2053.02,2022-05-23 07:26:48.625459+00:00,Pancakeswap,scraper
2052.17,2022-05-23 07:26:58.650973+00:00,Pancakeswap,scraper
2071.59,2022-05-23 07:27:03.333147+00:00,Uniswap,scraper
2052.17,2022-05-23 07:27:08.675105+00:00,Pancakeswap,scraper
2052.17,2022-05-23 07:27:18.696033+00:00,Pancakeswap,scraper
2071.35,2022-05-23 07:27:23.360217+00:00,Uniswap,scraper
2052.17,2022-05-23 07:27:28.713171+00:00,Pancakeswap,scraper
2062.07,2022-05-23 07:27:38.729771+00:00,Pancakeswap,scraper
2071.35,2022-05-23 07:27:43.390808+00:00,Uniswap,scraper
2062.07,2022-05-23 07:27:48.747109+00:00,Pancakeswap,scraper
2055.19,2022-05-23 07:27:58.764804+00:00,Pancakeswap,scraper
2071.35,2022-05-23 07:28:03.418323+00:00,Uniswap,scraper
2055.19,2022-05-23 07:28:08.784439+00:00,Pancakeswap,scraper
2055.19,2022-05-23 07:28:18.801859+00:00,Pancakeswap,scraper
2071.19,2022-05-23 07:28:23.451232+00:00,Uniswap,scraper
2055.19,2022-05-23 07:28:28.825830+00:00,Pancakeswap,scraper
2055.19,2022-05-23 07:28:38.840764+00:00,Pancakeswap,scraper
2072.9,2022-05-23 07:28:43.477654+00:00,Uniswap,scraper
2055.19,2022-05-23 07:28:48.861745+00:00,Pancakeswap,scraper
2055.19,2022-05-23 07:28:58.878171+00:00,Pancakeswap,scraper
2072.9,2022-05-23 07:29:03.504316+00:00,Uniswap,scraper
2055.19,2022-05-23 07:29:08.899851+00:00,Pancakeswap,scraper
2055.19,2022-05-23 07:29:18.924648+00:00,Pancakeswap,scraper
2075.14,2022-05-23 07:29:23.535874+00:00,Uniswap,scraper
2055.19,2022-05-23 07:29:28.942447+00:00,Pancakeswap,scraper
2055.19,2022-05-23 07:29:38.957318+00:00,Pancakeswap,scraper
2075.14,2022-05-23 07:29:43.573521+00:00,Uniswap,scraper
2055.19,2022-05-23 07:29:48.975860+00:00,Pancakeswap,scraper
2055.19,2022-05-23 07:29:58.991536+00:00,Pancakeswap,scraper
2073.76,2022-05-23 07:30:03.594135+00:00,Uniswap,scraper
2055.16,2022-05-23 07:30:09.014700+00:00,Pancakeswap,scraper
2055.16,2022-05-23 07:30:19.033354+00:00,Pancakeswap,scraper
2073.62,2022-05-23 07:30:24.054744+00:00,Uniswap,scraper
2055.16,2022-05-23 07:30:29.043763+00:00,Pancakeswap,scraper
2065.54,2022-05-23 07:30:39.064549+00:00,Pancakeswap,scraper
2073.59,2022-05-23 07:30:44.085453+00:00,Uniswap,scraper
2065.54,2022-05-23 07:30:49.084626+00:00,Pancakeswap,scraper
2065.61,2022-05-23 07:30:59.098086+00:00,Pancakeswap,scraper
2073.59,2022-05-23 07:31:04.104221+00:00,Uniswap,scraper
