snapped_at,volume
2021-08-06 13:50:00 +0000,22246386831.351856696293544277148161
2021-08-07 13:50:00 +0000,26610430427.386356790104119107018394
2021-08-08 13:50:00 +0000,24388183715.186703352677882572117633
2021-08-09 13:50:00 +0000,22941997359.416935255710804243853473
2021-08-10 13:50:00 +0000,24565014130.468830519777020056765772
2021-08-11 13:50:00 +0000,27843596626.15512332202702211396057
2021-08-12 13:50:00 +0000,30935922891.970031213689129297587372
2021-08-13 13:50:00 +0000,21459238098.123099495160262610893764
2021-08-14 13:50:00 +0000,25365011215.81415395390767259709193
2021-08-15 13:50:00 +0000,22576152004.202849020740765908098998
2021-08-16 13:50:00 +0000,26204853232.800047168527811035342503
2021-08-17 13:50:00 +0000,30406661736.286302758582407710237781
2021-08-18 13:50:00 +0000,29825948762.448651920037497867629168
2021-08-19 13:50:00 +0000,25857484237.142216262518738520985651
2021-08-20 13:50:00 +0000,26661894581.793052543537120433409283
2021-08-21 13:50:00 +0000,26961230659.075342641782762548023919
2021-08-22 13:50:00 +0000,19828387618.663078872029142009416514
2021-08-23 13:50:00 +0000,27155148208.622925040379773381134797
2021-08-24 13:50:00 +0000,24794765452.473342436076609788562915
2021-08-25 13:50:00 +0000,32269833313.810017195769951374735526
2021-08-26 13:50:00 +0000,29749497143.357766473384204959872031
2021-08-27 13:50:00 +0000,23252327505.998381997247149237255837
2021-08-28 13:50:00 +0000,21256109878.868621362510099300883765
2021-08-29 13:50:00 +0000,20308698789.929594455348919589207813
2021-08-30 13:50:00 +0000,20219017182.94219494301092828906065
2021-08-31 13:50:00 +0000,30635464391.972604719099805186865892
2021-09-01 13:50:00 +0000,28784184592.477594372349513345853066
2021-09-02 13:50:00 +0000,29102467887.441543757152477292141802
2021-09-03 13:50:00 +0000,30889220311.795593722472973996110989
2021-09-04 13:50:00 +0000,26594541892.265105119978681284794355
2021-09-05 13:50:00 +0000,23909208517.243710107020378327486081
2021-09-06 13:50:00 +0000,31777415265.062833851040865822103468
2021-09-07 13:50:00 +0000,42110017121.716609457377142067435654
2021-09-08 13:50:00 +0000,67158454514.030045430276680216537932
2021-09-09 13:50:00 +0000,41341124011.57262012454441136645495
2021-09-10 13:50:00 +0000,32463400854.257013177067116476782315
2021-09-11 13:50:00 +0000,31320326911.47695183331404309354027
2021-09-12 13:50:00 +0000,23434601263.977602917171142240208926
2021-09-13 13:50:00 +0000,31077934399.26113159872213451037857
2021-09-14 13:50:00 +0000,28801516861.865730688782153898793402
2021-09-15 13:50:00 +0000,23931685607.993717175645370419250773
2021-09-16 13:50:00 +0000,25553076039.731611821071429311594812
2021-09-17 13:50:00 +0000,28426127649.958222714857143108004707
2021-09-18 13:50:00 +0000,21701854201.439809563059355165080998
2021-09-19 13:50:00 +0000,19284665820.111681940527882955889653
2021-09-20 13:50:00 +0000,31868279914.622334879055391512081236
2021-09-21 13:50:00 +0000,29532061845.048248651222686626539833
2021-09-22 13:50:00 +0000,29017560449.836260753876010788976109
2021-09-23 13:50:00 +0000,25537419734.291408822608511695766071
2021-09-24 13:50:00 +0000,31926855576.855975762410595494284273
2021-09-25 13:50:00 +0000,22414107088.921589171801496698938865
2021-09-26 13:50:00 +0000,23930344152.525377298190609801767617
2021-09-27 13:50:00 +0000,20212587072.260681345255674918048767
2021-09-28 13:50:00 +0000,19257702944.904862896390970777521795
2021-09-29 13:50:00 +0000,17360112188.927040868362553796603938
2021-09-30 13:50:00 +0000,18074506417.132912747269254981920323
2021-10-01 13:50:00 +0000,22149153403.566305497279280095342282
2021-10-02 13:50:00 +0000,21478525286.816265364881711595020625
2021-10-03 13:50:00 +0000,20482310922.76975907976439617824524
2021-10-04 13:50:00 +0000,22399451682.042442272099897832235754
2021-10-05 13:50:00 +0000,27796787783.028020616932095020466755
2021-10-06 13:50:00 +0000,36218059115.125153970996167378519718
2021-10-07 13:50:00 +0000,37404092387.474055360227536936785928
2021-10-08 13:50:00 +0000,34832696773.349697752576185223964773
2021-10-09 13:50:00 +0000,26571506816.747479234844483367276164
2021-10-10 13:50:00 +0000,24074488417.196173691620978222602878
2021-10-11 13:50:00 +0000,24447582403.02487441877316095040887
2021-10-12 13:50:00 +0000,24266213766.29696341464805434579648
2021-10-13 13:50:00 +0000,26427817173.948365340790416985498053
2021-10-14 13:50:00 +0000,26855356853.839832569821445251277603
2021-10-15 13:50:00 +0000,32257373313.979542425928185047791778
2021-10-16 13:50:00 +0000,29614448556.485017684975577247062054
2021-10-17 13:50:00 +0000,18067670397.211950832548725054379163
2021-10-18 13:50:00 +0000,25875691859.754641488412536299583174
2021-10-19 13:50:00 +0000,19436856210.753992916747721245280388
2021-10-20 13:50:00 +0000,20089190384.051128683998529561603437
2021-10-21 13:50:00 +0000,35373984370.509113866194782272896383
2021-10-22 13:50:00 +0000,26546205291.320129641056938505586238
2021-10-23 13:50:00 +0000,22305048437.111051834413722138782838
2021-10-24 13:50:00 +0000,21491417812.564484077561160263984477
2021-10-25 13:50:00 +0000,26058128921.710389995316363542400144
2021-10-26 13:50:00 +0000,25878244918.440391249477614388554262
2021-10-27 13:50:00 +0000,46394953895.893483064031720529526348
2021-10-28 13:50:00 +0000,50098145582.886581184976427530910147
2021-10-29 13:50:00 +0000,39727596003.745957853636515215877983
2021-10-30 13:50:00 +0000,30684067275.028067115125387690111954
2021-10-31 13:50:00 +0000,46925123391.664179368966102132530344
2021-11-01 13:50:00 +0000,37020592468.166808354465818972105496
2021-11-02 13:50:00 +0000,33574463331.108755990034024684454467
2021-11-03 13:50:00 +0000,36901998635.917419697688216704513432
2021-11-04 13:50:00 +0000,38841853417.058670181129693863536234
2021-11-05 13:50:00 +0000,36315880038.007387580017558152855314
2021-11-06 13:50:00 +0000,29190281965.265768084702113766656221
2021-11-07 13:50:00 +0000,21536293277.012467059523196695270394
2021-11-08 13:50:00 +0000,28360791373.261659539752046613664511
2021-11-09 13:50:00 +0000,32433814285.993464983088194542831016
2021-11-10 13:50:00 +0000,35038557000.83356308280856889329526
2021-11-11 13:50:00 +0000,49966020453.6391774826395433572013
2021-11-12 13:50:00 +0000,31761223916.904331225603516150985945
2021-11-13 13:50:00 +0000,24660776716.717787879334100409429152
2021-11-14 13:50:00 +0000,21965155558.351031231293816605623149
2021-11-15 13:50:00 +0000,23235560923.905441508022629329953482
2021-11-16 13:50:00 +0000,40283312145.7070464249716462524334661
2021-11-17 13:50:00 +0000,30979525601.4608063716525485981463364
2021-11-18 13:50:00 +0000,31689754633.3608487356846250702787051
2021-11-19 13:50:00 +0000,39075252787.0181133966553821841885629
2021-11-20 13:50:00 +0000,26519722350.138810601901794809944213
2021-11-21 13:50:00 +0000,31760865853.829530815683865452090187
2021-11-22 13:50:00 +0000,33112643180.382571571596705631898455
2021-11-23 13:50:00 +0000,32806841061.6269449471062471956212548
2021-11-24 13:50:00 +0000,34077595198.6455556832611513200833462
2021-11-25 13:50:00 +0000,42349767730.6898127331861650862334544
2021-11-26 13:50:00 +0000,50247630172.5771922207276906845038311
2021-11-27 13:50:00 +0000,29861903313.6196714324386530015821578
2021-11-28 13:50:00 +0000,24081093077.475586297824875721144835
2021-11-29 13:50:00 +0000,26929396196.494842490807531303375061
2021-11-30 13:50:00 +0000,30611674880.9380229492988040417548886
2021-12-01 13:50:00 +0000,33431089552.480880466039307548964185
2021-12-02 13:50:00 +0000,29806014940.7303422835696567109381478
2021-12-03 13:50:00 +0000,29498137419.702317528962757969863817
2021-12-04 13:50:00 +0000,61389221469.1358550376273787752467666
2021-12-05 13:50:00 +0000,29304641715.0733534709589463139622224
2021-12-06 13:50:00 +0000,32568277871.999473139551399905177666
2021-12-07 13:50:00 +0000,28068493371.7287658103027316163879383
2021-12-08 13:50:00 +0000,23128091153.2162825104582404044389024
2021-12-09 13:50:00 +0000,22240893586.8698502785200264252703272
2021-12-10 13:50:00 +0000,22543160959.565015333601327118606004
2021-12-11 13:50:00 +0000,20969772395.9130918680047363184627248
